city;month;avg_mth_en_consumption_house_kwh;energy_price_eur_kwh;solar_panel_brand;solar_panel_power_kwh;solar_panel_efficiency_%
helsinki;1;563;0.1873;jinko_solar;405;0.8
helsinki;2;506;0.1873;jinko_solar;405;0.8
helsinki;3;481;0.1873;jinko_solar;405;0.8
helsinki;4;440;0.1873;jinko_solar;405;0.8
helsinki;5;417;0.1873;jinko_solar;405;0.8
helsinki;6;443;0.1873;jinko_solar;405;0.8
helsinki;7;472;0.1873;jinko_solar;405;0.8
helsinki;8;488;0.1873;jinko_solar;405;0.8
helsinki;9;466;0.1873;jinko_solar;405;0.8
helsinki;10;498;0.1873;jinko_solar;405;0.8
helsinki;11;544;0.1873;jinko_solar;405;0.8
helsinki;12;560;0.1873;jinko_solar;405;0.8
kyiv;1;321;0.042;jinko_solar;405;0.8
kyiv;2;293;0.042;jinko_solar;405;0.8
kyiv;3;322;0.042;jinko_solar;405;0.8
kyiv;4;377;0.042;jinko_solar;405;0.8
kyiv;5;444;0.042;jinko_solar;405;0.8
kyiv;6;464;0.042;jinko_solar;405;0.8
kyiv;7;458;0.042;jinko_solar;405;0.8
kyiv;8;418;0.042;jinko_solar;405;0.8
kyiv;9;370;0.042;jinko_solar;405;0.8
kyiv;10;341;0.042;jinko_solar;405;0.8
kyiv;11;319;0.042;jinko_solar;405;0.8
kyiv;12;313;0.042;jinko_solar;405;0.8
lisbon;1;373;0.1972;jinko_solar;405;0.8
lisbon;2;378;0.1972;jinko_solar;405;0.8
lisbon;3;401;0.1972;jinko_solar;405;0.8
lisbon;4;417;0.1972;jinko_solar;405;0.8
lisbon;5;429;0.1972;jinko_solar;405;0.8
lisbon;6;452;0.1972;jinko_solar;405;0.8
lisbon;7;466;0.1972;jinko_solar;405;0.8
lisbon;8;459;0.1972;jinko_solar;405;0.8
lisbon;9;426;0.1972;jinko_solar;405;0.8
lisbon;10;408;0.1972;jinko_solar;405;0.8
lisbon;11;383;0.1972;jinko_solar;405;0.8
lisbon;12;368;0.1972;jinko_solar;405;0.8
ljubljana;1;244;0.1533;jinko_solar;405;0.8
ljubljana;2;231;0.1533;jinko_solar;405;0.8
ljubljana;3;254;0.1533;jinko_solar;405;0.8
ljubljana;4;290;0.1533;jinko_solar;405;0.8
ljubljana;5;334;0.1533;jinko_solar;405;0.8
ljubljana;6;358;0.1533;jinko_solar;405;0.8
ljubljana;7;369;0.1533;jinko_solar;405;0.8
ljubljana;8;343;0.1533;jinko_solar;405;0.8
ljubljana;9;305;0.1533;jinko_solar;405;0.8
ljubljana;10;272;0.1533;jinko_solar;405;0.8
ljubljana;11;247;0.1533;jinko_solar;405;0.8
ljubljana;12;241;0.1533;jinko_solar;405;0.8
london;1;585;0.250;jinko_solar;405;0.8
london;2;535;0.250;jinko_solar;405;0.8
london;3;544;0.250;jinko_solar;405;0.8
london;4;514;0.250;jinko_solar;405;0.8
london;5;506;0.250;jinko_solar;405;0.8
london;6;519;0.250;jinko_solar;405;0.8
london;7;539;0.250;jinko_solar;405;0.8
london;8;533;0.250;jinko_solar;405;0.8
london;9;497;0.250;jinko_solar;405;0.8
london;10;529;0.250;jinko_solar;405;0.8
london;11;580;0.250;jinko_solar;405;0.8
london;12;616;0.250;jinko_solar;405;0.8
luxembourg;1;349;0.1696;jinko_solar;405;0.8
luxembourg;2;316;0.1696;jinko_solar;405;0.8
luxembourg;3;322;0.1696;jinko_solar;405;0.8
luxembourg;4;297;0.1696;jinko_solar;405;0.8
luxembourg;5;306;0.1696;jinko_solar;405;0.8
luxembourg;6;322;0.1696;jinko_solar;405;0.8
luxembourg;7;344;0.1696;jinko_solar;405;0.8
