,city,month,latitude,longitude,hours_of_sun,temp,humidity,precip,cloudcover,avg_mth_en_consumption_house_kwh,energy_price_eur_kwh,solar_panel_power_kwh,monthly_energy_produced_kwh,montlhy_energy_cost_eur,montlhy_solar_panel_cost_saved,money_saved,encoded_city,country
113,dublin,6,53.348,-6.248,507.28638888888895,13.753333333333334,75.83,1.6148666666666667,74.42,420,0.3718,405,52.554362602500014,156.156,19.539712015609506,13.0,9,ireland
114,dublin,7,53.348,-6.248,508.49000000000007,16.63225806451613,75.46451612903226,0.7804193548387097,80.84516129032258,435,0.3718,405,39.4471779387097,161.733,14.666460757612267,9.0,9,ireland
115,dublin,8,53.348,-6.248,456.55333333333334,16.219354838709677,74.76774193548388,1.2626451612903227,63.58387096774193,428,0.3718,405,67.3349156419355,159.1304,25.03512163567162,16.0,9,ireland
116,dublin,9,53.348,-6.248,380.2225,13.29,83.23,0.2552666666666667,73.86666666666666,401,0.3718,405,40.242749400000015,149.0918,14.962254226920006,10.0,9,ireland
117,dublin,10,53.348,-6.248,327.4580555555556,12.274193548387096,82.33870967741936,2.165774193548387,66.16129032258064,414,0.3718,405,44.87707019758065,153.92520000000002,16.685294699460485,11.0,9,ireland
118,dublin,11,53.348,-6.248,259.4838888888889,9.056666666666667,83.30666666666666,1.4194,66.53,461,0.3718,405,35.1739493325,171.3998,13.077674361823501,8.0,9,ireland
119,dublin,12,53.348,-6.248,235.62944444444443,4.483870967741935,86.6516129032258,1.6379354838709679,67.81290322580645,488,0.3718,405,30.716122311290317,181.4384,11.42025427533774,6.0,9,ireland
120,helsinki,1,60.171,24.933,211.255,-2.164516129032258,88.25161290322582,2.3301612903225806,69.39032258064516,563,0.1873,405,26.189111983064517,105.4499,4.905220674427984,5.0,10,finland
121,helsinki,2,60.171,24.933,256.18638888888887,-1.1071428571428572,88.37857142857142,3.0500000000000003,69.82857142857144,506,0.1873,405,31.304512799999987,94.7738,5.863335247439998,6.0,10,finland
122,helsinki,3,60.171,24.933,366.92805555555555,0.967741935483871,72.05806451612904,0.2510322580645161,31.625806451612902,481,0.1873,405,101.60806004999999,90.0913,19.031189647364997,21.0,10,finland
123,helsinki,4,60.171,24.933,438.80611111111114,4.14,66.57666666666667,0.46153333333333335,36.32,440,0.1873,405,113.16985128,82.41199999999999,21.196713144744,26.0,10,finland
