,city,month,latitude,longitude,hours_of_sun,temp,humidity,precip,cloudcover,avg_mth_en_consumption_house_kwh,energy_price_eur_kwh,solar_panel_power_kwh,monthly_energy_produced_kwh,montlhy_energy_cost_eur,montlhy_solar_panel_cost_saved,money_saved,solar_panel_price,years_to_pay_the_solar_panel
0,amsterdam,1,52.37,4.908,257.81194444444446,5.683870967741935,86.51612903225806,1.488483870967742,86.80000000000001,326,0.0595,405.0,13.577474376807523,19.397,0.8078597254200476,4.0,700,72.2072551679722
1,amsterdam,2,52.37,4.908,277.9766666666667,6.867857142857143,79.45,3.6377142857142855,77.60357142857143,283,0.0595,405.0,24.296808368819942,16.8385,1.4456600979447864,9.0,700,40.35065601953222
2,amsterdam,3,52.37,4.908,368.84777777777776,7.6,68.62258064516129,0.6335161290322581,39.05483870967742,285,0.0595,405.0,90.4651583282101,16.9575,5.3826769205285006,32.0,700,10.837234742969832
3,amsterdam,4,52.37,4.908,418.5422222222222,9.473333333333333,69.76666666666667,1.4294,71.04333333333334,267,0.0595,405.0,48.38271842926704,15.8865,2.8787717465413887,18.0,700,20.263271446725888
4,amsterdam,5,52.37,4.908,488.3569444444445,13.764516129032257,73.1258064516129,1.2747741935483872,70.98387096774194,274,0.0595,405.0,56.6578382956824,16.303,3.371141378593103,21.0,700,17.3037338937348
5,amsterdam,6,52.37,4.908,501.446388888889,16.846666666666668,72.56666666666666,2.4974,61.35666666666667,289,0.0595,405.0,76.51918032790697,17.1955,4.552891229510465,26.0,700,12.812371390564813
6,amsterdam,7,52.37,4.908,503.27722222222224,18.570967741935487,69.99354838709678,0.8619032258064516,71.27741935483871,310,0.0595,405.0,58.03985690599068,18.445,3.4533714859064455,19.0,700,16.891705271615724
7,amsterdam,8,52.37,4.908,453.6025,20.1,71.39032258064516,1.2141935483870965,53.777419354838706,320,0.0595,405.0,83.88401343957248,19.04,4.991098799654563,26.0,700,11.687473174718685
8,amsterdam,9,52.37,4.908,379.6438888888889,15.270000000000001,77.45333333333333,4.3938,74.99666666666667,299,0.0595,405.0,36.75491344130443,17.790499999999998,2.1869173497576138,12.0,700,26.67377134293561
9,amsterdam,10,52.37,4.908,329.1738888888889,13.493548387096775,84.76129032258065,1.6409677419354838,78.87741935483871,308,0.0595,405.0,27.697567251451375,18.326,1.6480052514613568,9.0,700,35.396327336703976
10,amsterdam,11,52.37,4.908,263.3627777777778,8.9,88.33666666666666,3.2854666666666663,80.8,329,0.0595,405.0,19.806255937555207,19.575499999999998,1.1784722282845348,6.0,700,49.49911583257872
11,amsterdam,12,52.37,4.908,241.05333333333334,4.206451612903226,90.12903225806451,2.0656451612903224,81.4,342,0.0595,405.0,17.783456440139993,20.349,1.0581156581883295,5.0,700,55.12944911259486
12,athens,1,37.97599999999999,23.736,306.12888888888887,7.929032258064517,69.70322580645161,2.6356451612903227,48.483870967741936,287,0.295,405.0,62.18742168526046,84.66499999999999,18.345289397151834,22.0,700,3.1797445148175076
13,athens,2,37.976,23.736,302.26944444444445,10.37857142857143,70.1,0.7201785714285714,49.146428571428565,287,0.295,405.0,61.80615362570862,84.66499999999999,18.23281531958404,22.0,700,3.199359633214567
14,athens,3,37.97599999999999,23.736,371.0186111111111,8.861290322580645,64.32903225806452,1.4089032258064518,51.5,308,0.295,405.0,71.85055962456217,90.86,21.195915089245837,23.0,700,2.7521026144764043
15,athens,4,37.976,23.736,395.83222222222224,15.94,56.70666666666667,0.08966666666666666,33.346666666666664,333,0.295,405.0,106.75751324519622,98.235,31.493466407332885,32.0,700,1.8522360345748126
16,athens,5,37.97599999999999,23.736,441.1277777777778,20.641935483870967,49.66129032258065,0.2374838709677419,30.316129032258065,364,0.295,405.0,124.19928374452041,107.38,36.63878870463352,34.0,700,1.5921195922603253
17,athens,6,37.976,23.736,442.61305555555555,26.45,46.57666666666667,0.15506666666666666,27.933333333333334,401,0.295,405.0,128.9851489189379,118.29499999999999,38.05061893108668,32.0,700,1.5330455843301942
18,athens,7,37.97599999999999,23.736,449.41333333333336,28.193548387096776,37.351612903225806,0.19503225806451613,13.087096774193547,456,0.295,405.0,157.88373513211772,134.51999999999998,46.57570186397473,35.0,700,1.252441315939736
19,athens,8,37.97599999999999,23.736,421.4794444444444,27.529032258064515,50.34838709677419,1.7751612903225804,25.135483870967743,442,0.295,405.0,125.52457755472837,130.39,37.02975037864486,28.0,700,1.5753099261229233
20,athens,9,37.976,23.736,372.8036111111111,23.790000000000003,56.07666666666667,0.7273,24.23,372,0.295,405.0,113.56964148170866,109.74,33.50304423710405,31.0,700,1.7411353105856024
21,athens,10,37.97599999999999,23.736,347.425,19.393548387096775,54.49032258064516,0.4822903225806452,27.848387096774193,330,0.295,405.0,101.03282715667382,97.35,29.804684011218775,31.0,700,1.9571867734405803
